,Player_Name,Stats_Span,Matches_Played,Batting_Innings,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Batting_SR,Hundreds_Scored,Fifties_Scored,Ducks,Bowling_Innings,Balls_Bowled,Maidens,Runs_Given,Wickets_Taken,Best_Figures,Bowling_Average,Economy,Bowling_SR,Five_Wicket_Haul,Ten_Wicket_Haul,Catches_Taken,Stumps
773,Mustafizur Rahman,2024-2024,18,7,3,16,7*,4.00,66.66,0,0,1,18,408,2,516,27,6/10,19.11,7.58,15.1,1,0,4,0
774,Mustapha Suwareh,2024-2024,2,2,0,4,3,2.00,28.57,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
775,Muzahir Raza,2024-2024,3,2,2,1,1*,0.00,100.00,0,0,0,3,66,0,88,5,3/42,17.60,8.00,13.2,0,0,0,0
776,Myat Thu Aung,2024-2024,7,4,1,9,4,3.00,26.47,0,0,0,2,24,0,24,1,1/13,24.00,6.00,24.0,0,0,0,0
777,N Advani,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,14,0,14,4,4/14,3.50,6.00,3.5,0,0,0,0
778,N Burger,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,18,0,47,0,0,0.00,15.66,0,0,0,0,0
779,N Chejay,2024-2024,5,4,0,42,34,10.50,80.76,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0,1
780,N Davin,2024-2024,7,7,0,102,25,14.57,93.57,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,6,0
781,N Dutta,2024-2024,3,0,0,0,0,0.00,0.00,0,0,0,3,52,0,83,1,1/41,83.00,9.57,52.0,0,0,0,0
782,N Gnanapragasam,2024-2024,1,1,0,0,0,0.00,0.00,0,0,1,1,12,0,8,0,0,0.00,4.00,0,0,0,1,0
783,N Katechis,2024-2024,4,2,1,4,3*,4.00,23.52,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,3,0
